category,subcategory,factor_name_cn,factor_code_base,common_variants,input_data,construction_method,priority_for_replication,notes,construction_figure,construction_page
"量价相关性","领先滞后","分钟收盘价与领先成交量相关系数","corr_pvl","o,m,std,z","分钟收盘价和领先成交量","计算分钟收盘价与领先成交量的异步相关系数。","top","报告中 corr_pvl 及其 std/m 变体表现较好。","figures/figure_37_p027_图表37：量价相关性因子构建方式.png","pages/page_027.png"
"量价相关性","价量同步","分钟收盘价与成交量变化率相关系数","corr_pvr","o,m,std,z","分钟收盘价和成交量变化率","计算分钟收盘价与成交量变化率的相关系数。","","","figures/figure_37_p027_图表37：量价相关性因子构建方式.png","pages/page_027.png"
"筹码分布","筹码形状","分钟收益率分组筹码峰度","doc_kurt","o,m,std,z","分钟收益率分组后的成交量分布","按分钟收益率分组成交量，计算分布峰度。","","","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码形状","分钟收益率分组筹码偏度","doc_skew","o,m,std,z","分钟收益率分组后的成交量分布","按分钟收益率分组成交量，计算分布偏度。","high","doc_skew_std 是形状类中相对较好者。","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码形状","分钟收益率分组筹码标准差","doc_std","o,m,std,z","分钟收益率分组后的成交量分布","按分钟收益率分组成交量，计算分布标准差。","","","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码60%占比收益率分位","doc_vol_pdf60","o,m,std,z","分钟收益率分组成交量分布","计算分钟收益率分组筹码60%占比对应的收益率分位。","","","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码70%占比收益率分位","doc_vol_pdf70","o,m,std,z","分钟收益率分组成交量分布","计算分钟收益率分组筹码70%占比对应的收益率分位。","","","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码80%占比收益率分位","doc_vol_pdf80","o,m,std,z","分钟收益率分组成交量分布","计算分钟收益率分组筹码80%占比对应的收益率分位。","high","doc_vol_pdf80_std 在多股票池有效。","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码90%占比收益率分位","doc_vol_pdf90","o,m,std,z","分钟收益率分组成交量分布","计算分钟收益率分组筹码90%占比对应的收益率分位。","top","doc_vol_pdf90_std 是优先复现对象。","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码双边90%占比收益率分位","doc_vol_pdf90bi","o,m,std,z","分钟收益率分组成交量分布","计算分钟收益率分组筹码双边90%占比收益率分位。","top","doc_vol_pdf90bi_std 表现优异。","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码95%占比收益率分位","doc_vol_pdf95","o,m,std,z","分钟收益率分组成交量分布","计算分钟收益率分组筹码95%占比对应的收益率分位。","top","doc_vol_pdf95_std 表现优异。","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码前10大占比","doc_vol10_ratio","o,m,std,z","分钟收益率分组成交量分布","计算成交量分布中前10大分组占比。","high","报告后续展示 doc_vol10_ratio_o 相关性。","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码前5大占比","doc_vol5_ratio","o,m,std,z","分钟收益率分组成交量分布","计算成交量分布中前5大分组占比。","","","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"筹码分布","筹码占比","分钟收益率分组筹码前50大占比","doc_vol50_ratio","o,m,std,z","分钟收益率分组成交量分布","计算成交量分布中前50大分组占比。","","","figures/figure_44_p031_图表44：筹码分布因子构建方式_continued.png","pages/page_031.png"
"拥挤度","傅里叶拥挤度","前10%周期占比","crowd_fftv10","o,m,std,z","30s快照成交量序列","傅里叶变换30s快照数据，取前10%强度占比。","","","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","前20%周期占比不补零","crowd_fftv20_30s_no0","o,m,std,z","30s快照和1min数据","傅里叶变换30s快照数据和1min数据，不补零。","","","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","前20%周期占比补零","crowd_fftv20_30s_w0","o,m,std,z","30s快照和1min数据","傅里叶变换30s快照数据和1min数据，补零。","","","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","3s快照前20%周期占比补零","crowd_fftv20_3s_w0","o,m,std,z","3s快照和1min数据","傅里叶变换3s快照数据和1min数据，补零后取前20%周期强度占比。","top","crowd_fftv20_3s_w0_std 是优先复现对象。","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","高频前20%周期占比","crowd_fftv20_high","o,m,std,z","30s快照成交量序列","傅里叶变换后取高频20%强度占比。","","","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","低频前20%周期占比","crowd_fftv20_low","o,m,std,z","30s快照成交量序列","傅里叶变换后取低频20%强度占比。","","","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","前5周期占比","crowd_fftv5","o,m,std,z","30s快照成交量序列","傅里叶变换后取前5强信号占比。","","","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","常规拥挤度","前50周期占比","crowd_origin_v50","o,m,std,z","30s快照成交量序列","傅里叶变换后取前50强信号占比。","high","常规拥挤度代表。","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","前5到50周期占比","crowd_fftv50m10","o,m,std,z","30s快照成交量序列","傅里叶变换后取前50强、剔除前5信号后的占比。","top","crowd_fftv50m10_std 多股票池领先。","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"拥挤度","傅里叶拥挤度","前10到50周期占比","crowd_fftv50m5","o,m,std,z","30s快照成交量序列","傅里叶变换后取前50强、剔除前10信号后的占比。","high","crowd_fftv50m5_std 表现也较好。","figures/figure_51_p037_图表51：拥挤度因子构建方式.png","pages/page_037.png"
"资金流","开盘/尾盘资金","开盘后盘口净委买增额占比","trade_bidAskRatio","o,m,std,z","tick级盘口委托/成交额","计算盘口委买增额与委卖增额之差占成交额的比重。","high","开盘资金流代表。","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","收益率成交占比","后20K线收益率成交占比","trade_bottom20retRatio","o,m,std,z","分钟K线收益和成交量","后20根K线每根收益率乘以成交量占比后的加权收益率之和。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","收益率成交占比","后50K线收益率成交占比","trade_bottom50retRatio","o,m,std,z","分钟K线收益和成交量","后50根K线每根收益率乘以成交量占比后的加权收益率之和。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","撤单资金流","撤买单量占当日交易总量占比","trade_CBuyRatio","o,m,std,z","逐笔委托/撤单和成交量","当日所有撤销买单量与当日总成交量的比例。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","撤单资金流","总撤单量占当日交易总量占比","trade_CRatio","o,m,std,z","逐笔委托/撤单和成交量","当日所有撤单量与当日总成交量的比例。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","撤单资金流","撤卖单量占当日交易总量占比","trade_CSellRatio","o,m,std,z","逐笔委托/撤单和成交量","当日所有撤销卖单量与当日总成交量的比例。","high","全市场 trade_CSellRatio_z 相对更好。","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","开盘/尾盘资金","开盘成交占比","trade_headRatio","o,m,std,z","分钟/tick成交量","开盘一定时间内成交量与当日总成交量的比例。","top","trade_headRatio_std 是资金流优先复现对象。","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","开盘/尾盘资金","开盘后净主买占比","trade_netBuyRatio","o,m,std,z","逐笔成交主动买卖方向/成交额","计算开盘后净主动买入金额占比。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","开盘/尾盘资金","尾盘成交占比","trade_tailRatio","o,m,std,z","分钟/tick成交量","收盘前一定时间内成交量与当日总成交量的比例。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","收益率成交占比","前20K线收益率成交占比","trade_top20retRatio","o,m,std,z","分钟K线收益和成交量","前20根K线中收益率与成交量比例的均值。","top","trade_top20retRatio_m 表现较好。","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","收益率成交占比","前50K线收益率成交占比","trade_top50retRatio","o,m,std,z","分钟K线收益和成交量","前50根K线中收益率与成交量比例的均值。","high","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","收益率成交占比","前20K线下跌收益率成交占比","trade_topNeg20retRatio","o,m,std,z","分钟K线收益和成交量","前20根K线中收益率为负的绝对平均收益率与成交量比例的均值。","high","周度多空/多头超额表现较好。","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"资金流","收益率成交占比","前20K线上涨收益率成交占比","trade_topPos20retRatio","o,m,std,z","分钟K线收益和成交量","前20根K线中收益率为正的平均收益率与成交量比例的均值。","","","figures/figure_58_p042_图表58：资金流因子构建方式.png","pages/page_042.png"
"复合因子","等权复合","波动率复合","syn_vol","o,m,std,z","单类波动率因子","取波动率因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","high","","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","下单行为复合","syn_trade","o,m,std,z","单类资金流/下单行为因子","取下单行为因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","","","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","高阶特征复合","syn_shape","o,m,std,z","单类高阶特征因子","取高阶特征因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","","","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","动量反转复合","syn_mmt","o,m,std,z","单类动量反转因子","取动量反转因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","top","周度 syn_mmt_o ICIR 和多空收益突出。","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","流动性复合","syn_liq","o,m,std,z","单类流动性因子","取流动性因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","","","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","筹码分布复合","syn_doc","o,m,std,z","单类筹码分布因子","取筹码分布因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","","","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","拥挤度复合","syn_crowd","o,m,std,z","单类拥挤度因子","取拥挤度因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","top","月度/周度 syn_crowd_o 表现较强。","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
"复合因子","等权复合","价量相关复合","syn_corr","o,m,std,z","单类价量相关性因子","取价量相关因子周度综合表现前5名，市值和行业中性化、标准化后等权合并。","top","月度 syn_corr_o ICIR 较强。","figures/figure_65_p046_图表65：价量复合因子构建方式.png","pages/page_046.png"
